Feature,CorrelationCoefficient,Day
temperatura mieszanki za młynem E,-0.2140,d3
temperatura mieszanki za młynem E,-0.5714,d5
temperatura mieszanki za młynem E,,d6
temperatura mieszanki za młynem F,0.0906,d2
temperatura mieszanki za młynem F,,d3
temperatura mieszanki za młynem F,0.6094,d5
temperatura mieszanki za młynem F,,d6
temperatura pary świeżej przed wtryskiem I,-0.0589,d2
temperatura pary świeżej przed wtryskiem I,0.1109,d3
temperatura pary świeżej przed wtryskiem I,-0.3677,d5
temperatura pary świeżej przed wtryskiem I,,d6
temperatura pary świeżej przed wtryskiem II,-0.1636,d2
temperatura pary świeżej przed wtryskiem II,-0.4777,d3
temperatura pary świeżej przed wtryskiem II,0.0861,d5
temperatura pary świeżej przed wtryskiem II,,d6
temperatura pary świeżej wylot,-0.2721,d2
temperatura pary świeżej wylot,-0.4464,d3
temperatura pary świeżej wylot,0.2481,d5
temperatura pary świeżej wylot,,d6
temperatura pary świeżej za wtryskiem I,-0.0532,d2
temperatura pary świeżej za wtryskiem I,0.1074,d3
temperatura pary świeżej za wtryskiem I,-0.3691,d5
temperatura pary świeżej za wtryskiem I,,d6
temperatura pary świeżej za wtryskiem II,-0.0295,d2
temperatura pary świeżej za wtryskiem II,-0.5979,d3
temperatura pary świeżej za wtryskiem II,0.1234,d5
temperatura pary świeżej za wtryskiem II,,d6
temperatura wlotowa powietrza - strona A,-0.1636,d2
temperatura wlotowa powietrza - strona A,0.6316,d3
temperatura wlotowa powietrza - strona A,0.6611,d5
temperatura wlotowa powietrza - strona A,,d6
temperatura wlotowa powietrza - strona B,-0.3905,d2
temperatura wlotowa powietrza - strona B,0.6065,d3
temperatura wlotowa powietrza - strona B,0.4053,d5
temperatura wlotowa powietrza - strona B,,d6
temperatura wody wtryskowej do pary wtórnej,,d2
temperatura wody wtryskowej do pary wtórnej,-0.5704,d3
temperatura wody wtryskowej do pary wtórnej,0.2465,d5
temperatura wody wtryskowej do pary wtórnej,,d6
temperatura wody wtryskowej do pary świeżej,-0.6098,d2
temperatura wody wtryskowej do pary świeżej,-0.0131,d3
temperatura wody wtryskowej do pary świeżej,0.2304,d5
temperatura wody wtryskowej do pary świeżej,,d6
temperatura wylotowa pary wtórnej - strona L ,-0.0601,d2
temperatura wylotowa pary wtórnej - strona L ,-0.2772,d3
temperatura wylotowa pary wtórnej - strona L ,0.3532,d5
temperatura wylotowa pary wtórnej - strona L ,,d6
temperatura wylotowa pary wtórnej - strona P,-0.0440,d2
temperatura wylotowa pary wtórnej - strona P,-0.2108,d3
temperatura wylotowa pary wtórnej - strona P,0.2838,d5
temperatura wylotowa pary wtórnej - strona P,,d6
temperatura wylotowa spalin - strona B,,d2
temperatura wylotowa spalin - strona B,0.8872,d3
temperatura wylotowa spalin - strona B,0.7123,d5
temperatura wylotowa spalin - strona B,,d6
temperatura za wtryskiem pary wtórnej - strona L ,-0.0426,d2
temperatura za wtryskiem pary wtórnej - strona L ,0.8070,d3
temperatura za wtryskiem pary wtórnej - strona L ,0.0225,d5
temperatura za wtryskiem pary wtórnej - strona L ,,d6
temperatura za wtryskiem pary wtórnej - strona P,-0.4241,d2
temperatura za wtryskiem pary wtórnej - strona P,0.7351,d3
temperatura za wtryskiem pary wtórnej - strona P,-0.3623,d5
temperatura za wtryskiem pary wtórnej - strona P,,d6
tlen w spalinach - strona A,-0.0898,d2
tlen w spalinach - strona A,-0.0726,d3
tlen w spalinach - strona A,-0.5568,d5
tlen w spalinach - strona A,,d6
tlen w spalinach - strona B,-0.0595,d2
tlen w spalinach - strona B,0.1906,d3
tlen w spalinach - strona B,-0.5521,d5
tlen w spalinach - strona B,,d6
zawór zdmuchiwaczy sadzy - strona L,0.4429,d2
zawór zdmuchiwaczy sadzy - strona L,0.5781,d3
zawór zdmuchiwaczy sadzy - strona L,,d5
zawór zdmuchiwaczy sadzy - strona L,,d6
zawór zdmuchiwaczy sadzy - strona P,0.2310,d2
zawór zdmuchiwaczy sadzy - strona P,0.6027,d3
zawór zdmuchiwaczy sadzy - strona P,-0.3617,d5
zawór zdmuchiwaczy sadzy - strona P,,d6
