Feature,CorrelationCoefficient,Day
temperatura mieszanki za młynem E,-0.1426,d3
temperatura mieszanki za młynem E,-0.6322,d5
temperatura mieszanki za młynem E,0.5223,d6
temperatura mieszanki za młynem F,,d2
temperatura mieszanki za młynem F,,d3
temperatura mieszanki za młynem F,0.4365,d5
temperatura mieszanki za młynem F,0.7813,d6
temperatura pary świeżej przed wtryskiem I,,d2
temperatura pary świeżej przed wtryskiem I,0.0984,d3
temperatura pary świeżej przed wtryskiem I,-0.1392,d5
temperatura pary świeżej przed wtryskiem I,-0.6954,d6
temperatura pary świeżej przed wtryskiem II,,d2
temperatura pary świeżej przed wtryskiem II,-0.5406,d3
temperatura pary świeżej przed wtryskiem II,0.2068,d5
temperatura pary świeżej przed wtryskiem II,-0.3826,d6
temperatura pary świeżej wylot,,d2
temperatura pary świeżej wylot,-0.5109,d3
temperatura pary świeżej wylot,0.2463,d5
temperatura pary świeżej wylot,-0.6103,d6
temperatura pary świeżej za wtryskiem I,,d2
temperatura pary świeżej za wtryskiem I,0.1004,d3
temperatura pary świeżej za wtryskiem I,-0.1541,d5
temperatura pary świeżej za wtryskiem I,-0.6479,d6
temperatura pary świeżej za wtryskiem II,,d2
temperatura pary świeżej za wtryskiem II,-0.6801,d3
temperatura pary świeżej za wtryskiem II,0.1646,d5
temperatura pary świeżej za wtryskiem II,-0.2122,d6
temperatura wlotowa powietrza - strona A,,d2
temperatura wlotowa powietrza - strona A,0.6840,d3
temperatura wlotowa powietrza - strona A,0.5412,d5
temperatura wlotowa powietrza - strona A,0.3886,d6
temperatura wlotowa powietrza - strona B,,d2
temperatura wlotowa powietrza - strona B,0.6113,d3
temperatura wlotowa powietrza - strona B,0.3737,d5
temperatura wlotowa powietrza - strona B,,d6
temperatura wody wtryskowej do pary wtórnej,,d2
temperatura wody wtryskowej do pary wtórnej,-0.5756,d3
temperatura wody wtryskowej do pary wtórnej,0.0219,d5
temperatura wody wtryskowej do pary wtórnej,0.8671,d6
temperatura wody wtryskowej do pary świeżej,,d2
temperatura wody wtryskowej do pary świeżej,0.1060,d3
temperatura wody wtryskowej do pary świeżej,0.0880,d5
temperatura wody wtryskowej do pary świeżej,0.7357,d6
temperatura wylotowa pary wtórnej - strona L ,,d2
temperatura wylotowa pary wtórnej - strona L ,-0.3408,d3
temperatura wylotowa pary wtórnej - strona L ,0.1546,d5
temperatura wylotowa pary wtórnej - strona L ,-0.2866,d6
temperatura wylotowa pary wtórnej - strona P,,d2
temperatura wylotowa pary wtórnej - strona P,-0.2940,d3
temperatura wylotowa pary wtórnej - strona P,0.1634,d5
temperatura wylotowa pary wtórnej - strona P,0.2332,d6
temperatura wylotowa spalin - strona A,,d2
temperatura wylotowa spalin - strona A,0.8872,d3
temperatura wylotowa spalin - strona A,0.7123,d5
temperatura wylotowa spalin - strona A,,d6
temperatura za wtryskiem pary wtórnej - strona L ,,d2
temperatura za wtryskiem pary wtórnej - strona L ,0.8382,d3
temperatura za wtryskiem pary wtórnej - strona L ,-0.0282,d5
temperatura za wtryskiem pary wtórnej - strona L ,-0.6870,d6
temperatura za wtryskiem pary wtórnej - strona P,,d2
temperatura za wtryskiem pary wtórnej - strona P,0.7499,d3
temperatura za wtryskiem pary wtórnej - strona P,-0.2040,d5
temperatura za wtryskiem pary wtórnej - strona P,-0.8243,d6
tlen w spalinach - strona A,,d2
tlen w spalinach - strona A,-0.0961,d3
tlen w spalinach - strona A,-0.2729,d5
tlen w spalinach - strona A,-0.8370,d6
tlen w spalinach - strona B,,d2
tlen w spalinach - strona B,0.2069,d3
tlen w spalinach - strona B,-0.3143,d5
tlen w spalinach - strona B,-0.8053,d6
zawór zdmuchiwaczy sadzy - strona L,,d2
zawór zdmuchiwaczy sadzy - strona L,0.6225,d3
zawór zdmuchiwaczy sadzy - strona L,,d5
zawór zdmuchiwaczy sadzy - strona L,-0.1260,d6
zawór zdmuchiwaczy sadzy - strona P,,d2
zawór zdmuchiwaczy sadzy - strona P,0.6484,d3
zawór zdmuchiwaczy sadzy - strona P,-0.4680,d5
zawór zdmuchiwaczy sadzy - strona P,0.7675,d6
